count, hci0, hci1, hci2
0,-54,-54,0
1,-54,-54,0
2,-54,-54,0
3,-54,-54,-69
4,-54.6667,-58.5,-62.5
5,-54.6667,-58.5,-62.5
6,-54.25,-58.5,-62.5
7,-54.8,-58.5,-60.3333
8,-54.8,-58.5,-60.3333
9,-55.6667,-58.5,-59.25
10,-55.6667,-58.5,-59.25
11,-55.6667,-58.5,-59.25
12,-55.4286,-58.5,-59.25
13,-55.625,-60,-58.6
14,-55.625,-60,-58.6
15,-55.625,-60.75,-58.1667
16,-55.625,-60.75,-57.8571
17,-55.625,-60.75,-57.8571
18,-55.625,-59.6,-57.625
19,-56.2222,-58.6667,-57.4444
20,-56.2222,-58.6667,-57.4444
21,-56,-58.6667,-57.4444
22,-56,-58.6667,-57.4444
23,-56,-58.6667,-57.4444
24,-56.0909,-58.6667,-57.4444
25,-56.0909,-58.6667,-57.4444
26,-56.0909,-58.6667,-57.4444
27,-56.4167,-58.6667,-57.3
28,-56.3077,-58,-57.3
29,-56.3077,-58,-57.3
30,-56.2857,-58,-57.3
31,-56.3333,-58,-57.3
32,-56.3333,-58,-57.3
33,-56.3333,-57.75,-57.3
34,-56.5625,-57.75,-57.1818
35,-56.5625,-57.75,-57.1818
36,-56.5625,-57.3333,-57.0833
37,-56.5625,-57.3333,-57
38,-56.5625,-57.3333,-57
39,-56.5625,-57.3333,-57
40,-56.5625,-57.3333,-57
41,-56.5625,-57.3333,-57
42,-56.5625,-57.1,-57
43,-56.5625,-57.1,-57
44,-56.5625,-57.1,-57
45,-56.9375,-56.8182,-56.9333
46,-56.9375,-56.8182,-56.9333
47,-56.9375,-56.8182,-56.9333
48,-56.9375,-56.8182,-57.8125
49,-56.9375,-56.8182,-57.8125
50,-56.9375,-56.8182,-57.8125
51,-56.9375,-56.8182,-57.8125
52,-56.9375,-56.8182,-57.8125
53,-56.9375,-57.3333,-57.0625
54,-56.9375,-57.2308,-57.0625
55,-56.9375,-57.2308,-57.0625
56,-56.9375,-57.2308,-57.0625
57,-57,-57.2308,-57.0625
58,-57,-57.2308,-57.0625
59,-57,-57.2308,-57.8125
