count, hci0, hci1, hci2
0,-54,0,-69
1,-54,0,-69
2,-54,0,-69
3,-54,-56,-69
4,-55,-56,-69
5,-55,-56,-69
6,-55,-56,-69
7,-55,-56,-69
8,-55,-56,-69
9,-55,-56,-68.25
10,-55,-56,-68.4
11,-55,-56,-68.4
12,-55,-56,-68.1667
13,-55,-56,-68.1667
14,-55,-56,-68.1667
15,-55,-56,-68
16,-55,-56,-67.75
17,-55,-56,-67.75
18,-55,-54.5,-67.75
19,-55,-54.5,-67.4444
20,-55,-54.5,-67.4444
21,-55,-54.5,-67.4444
22,-55,-54.5,-67.4444
23,-55,-54.5,-67.4444
24,-55,-54.8,-67.6
25,-55,-54.8,-67.6
26,-55,-54.8,-67.6
27,-55,-54.8,-67.6
28,-55.4,-55,-67.6
29,-55.4,-55,-67.6
30,-55.4,-55,-67.6
31,-55.4,-55.1429,-67.7273
32,-55.4,-55.1429,-67.7273
33,-55.8333,-55.25,-67.7273
34,-55.8333,-55.25,-67.5833
35,-55.8333,-55.25,-67.5833
36,-55.8571,-55.3333,-67.4615
37,-55.8571,-55.3333,-67.4615
38,-55.8571,-55.3333,-67.4615
39,-55.8571,-54.9,-67.3571
40,-56,-54.4545,-67.2667
41,-56,-54.4545,-67.2667
42,-56,-54.5833,-67.2667
43,-56,-54.5833,-67.375
44,-56,-54.5833,-67.375
45,-56,-54.5833,-67.4375
46,-56.1111,-54.7692,-67.3125
47,-56.1111,-54.7692,-67.3125
48,-56.1111,-54.4286,-67.3125
49,-56.2,-54.4286,-67.3125
50,-56.2,-54.4286,-67.3125
51,-56.2,-54.4286,-67.3125
52,-56.2,-54.4286,-67.3125
53,-56.2,-54.4286,-67.3125
54,-56.2,-54.4286,-67.5625
55,-56.2,-54.4286,-67.4375
56,-56.2,-54.4286,-67.4375
57,-56.1818,-54.5333,-67.4375
58,-56.1818,-54.5333,-67.4375
59,-56.1818,-54.5333,-67.4375
