hci0,hci1,hci2
-68,-60,0
-66,-60,-81
-66,-60,-81
-66,-60,-81
-65.3333,-60,-81
-65.3333,-60,-81
-65.5,-60,-81
-65.5,-60,-81
-66.2,-60,-81
-66.2,-60,-81
-65.8333,-60.5,-79.5
-65.8333,-60.6667,-79.5
-65.8333,-60.6667,-78.6667
-65.5714,-60.6667,-77.25
-65.375,-60.25,-77.25
-65.375,-60.25,-77.25
-65.1111,-60,-77.25
-65.5,-60,-77.25
-65.5,-60,-77.25
-65.5,-60,-77.25
-65.5,-60,-77.25
-65.5,-60,-77.25
-65.5,-59.3333,-77.25
-65.3636,-59,-77.25
-65.3636,-59,-77.25
-65.25,-59,-76.6
-65.25,-59,-76.6
-65.25,-59,-76.6
-65.5385,-59,-76.6
-65.5385,-59,-76.6
-65.5385,-59.2222,-76.6
-65.5385,-59.2222,-76.6
-65.5385,-59.2222,-76.6
-65.5385,-59.2222,-76.6
-65.5385,-59.2222,-76.6
-65.5385,-59.2222,-76.6
-65.5385,-59.2222,-76.6
-65.5385,-59,-77.1667
-65.5385,-58.9091,-76.7143
-65.5385,-58.9091,-76.7143
-65.5,-58.9167,-76.7143
-65.6667,-58.9167,-76.7143
-65.6667,-58.9167,-76.7143
-65.5625,-58.9167,-77
-65.5625,-58.7692,-76.7778
-65.5625,-58.7692,-76.7778
-65.375,-58.7692,-76.6
-65.625,-58.7143,-75.7273
-65.625,-58.7143,-75.7273
-65.875,-58.7143,-75.0833
-65.75,-58.7143,-75.2308
-65.75,-58.7143,-75.2308
-65.75,-58.7143,-75.2308
-65.5,-58.7143,-75.2308
-65.5,-58.7143,-75.2308
-65.5,-58.7333,-75.1429
-65.5,-58.7333,-75.1429
-65.5,-58.7333,-75.1429
-65.8125,-58.75,-74.6667
-66,-58.8125,-74.6667
