count, hci0, hci1, hci2
0,0,0,0
1,0,0,0
2,0,0,0
3,0,-76,0
4,0,-76,0
5,0,-71.5,0
6,0,-71.5,0
7,0,-71.5,0
8,-68,-68,-68
9,-68,-68,-66.5
10,-68,-68,-66.5
11,-68,-68,-66.5
12,-69,-68,-65.6667
13,-69,-68,-65.6667
14,-69,-68,-66.25
15,-69.5,-68,-66.25
16,-69.5,-68,-66.25
17,-69.2,-66.25,-66
18,-69,-65.2,-65.8333
19,-69,-65.2,-65.8333
20,-67,-65.2,-65.7143
21,-67,-65.2,-65.625
22,-67,-65.2,-65.625
23,-67.5,-65.5,-65.7778
24,-67.5,-65.5,-65.7
25,-67.5,-65.5,-65.7
26,-67.5,-65.5,-65.7
27,-66.4444,-67,-65.6364
28,-66.4444,-67,-65.6364
29,-66.4444,-67,-65.6364
30,-66.4444,-67,-65.75
31,-66.4444,-67,-65.75
32,-66.8,-66.25,-65.8462
33,-66.8,-66.25,-65.8462
34,-66.8,-66.25,-65.8462
35,-66.7273,-65.2222,-65.8462
36,-66.7273,-65.2222,-65.7857
37,-66.7273,-65.2222,-65.7857
38,-65.75,-66.2,-65.7333
39,-65,-67.0909,-65.7333
40,-65,-67.0909,-65.7333
41,-65.4286,-67,-65.7333
42,-65.6,-67,-65.8125
43,-65.6,-67,-65.8125
44,-65.75,-66.5385,-65.8125
45,-65.75,-66.5385,-65.625
46,-65.75,-66.5385,-65.625
47,-65.75,-66.5714,-65.625
48,-65.75,-66.6,-65.625
49,-65.75,-66.6,-65.625
50,-65.75,-66.6,-65.8125
51,-65.8125,-66.25,-65.8125
52,-65.8125,-66.25,-65.8125
53,-65.8125,-66.25,-66
54,-65.1875,-66.3125,-66.0625
55,-65.1875,-66.3125,-66.0625
56,-65.1875,-66.9375,-66.125
57,-65.1875,-67.25,-66.125
58,-65.1875,-67.25,-66.125
59,-65.125,-67.25,-66.125
