count, hci0, hci1, hci2
0,-67,-59,0
1,-67,-59,0
2,-67,-61,0
3,-62.5,-61,-59
4,-62.5,-61,-59
5,-61,-61.3333,-59
6,-60.5,-61.3333,-59
7,-60.5,-61.3333,-59
8,-60.5,-61.3333,-61
9,-60.5,-60.75,-61
10,-60.5,-60.75,-61
11,-60.5,-60.75,-61
12,-60,-61.2,-61
13,-60,-61.2,-61
14,-60,-61.3333,-60.6667
15,-60,-61.3333,-60.25
16,-60,-61.3333,-60.25
17,-60,-61.4286,-60.8
18,-60,-61.4286,-60.8
19,-60,-61.4286,-60.8
20,-60,-61.4286,-60.8
21,-61,-61.125,-60.8
22,-61,-61.125,-60.8
23,-60.6667,-60.8889,-60.8
24,-60.4,-61.2,-60.5
25,-60.4,-61.2,-60.5
26,-60.3636,-61.2727,-60.2857
27,-60.3636,-61.3333,-60.625
28,-60.3636,-61.3333,-60.625
29,-60.3636,-61.3333,-60.625
30,-60.1667,-61.1538,-61
31,-60.1667,-61.1538,-61
32,-60,-61.3571,-61
33,-60,-61.5333,-60.8
34,-60,-61.5333,-60.8
35,-60.0667,-61.625,-60.8
36,-60.5625,-61.625,-60.8
37,-60.5625,-61.625,-60.8
38,-60,-61.75,-61
39,-60,-61.75,-61
40,-60,-61.75,-61
41,-60.125,-61.8125,-60.8333
42,-60.125,-61.8125,-60.8333
43,-60.125,-61.8125,-60.8333
44,-60.8125,-61.8125,-61
45,-60.75,-61.9375,-61
46,-60.75,-61.9375,-61
47,-60.6875,-62.125,-60.8571
48,-60.75,-62.1875,-61
49,-60.75,-62.1875,-61
50,-60.625,-62.25,-61.0625
51,-60.625,-62.25,-61.3125,*
52,-60.625,-62.25,-61.3125,*
53,-60.6875,-62.25,-61.375,*
54,-61.375,-61.9375,-61.375,*
55,-61.375,-61.9375,-61.375,*
56,-61.375,-61.9375,-61.375,*
57,-61.375,-61.9375,-61.5625,*
58,-61.375,-61.9375,-61.5625,*
59,-61.375,-61.9375,-61.875,*
